Module                  Size  Used by
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  4
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              36864  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_logitech_dj        36864  0
hid_multitouch         36864  0
nvme                   61440  2
ucsi_acpi              12288  0
nvme_core             229376  3 nvme
r8169                 126976  0
video                  77824  3 nvidia_wmi_ec_backlight,ideapad_laptop,nvidia_modeset
typec_ucsi             65536  1 ucsi_acpi
hid_generic            12288  0
serio_raw              20480  0
nvme_auth              28672  1 nvme_core
realtek                49152  1
typec                 118784  1 typec_ucsi
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
wmi                    28672  5 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
hid                   266240  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
